runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
3unique0        	udelRunTTG1     	all 	      0.0850	      0.2004	    0.4133
3unique0        	udelRunTTG2     	all 	      0.0758	      0.1637	    0.4041
3unique0        	udelRunTTG3     	all 	      0.0865	      0.2002	    0.4110
3unique0        	udelRunTTG4     	all 	      0.0806	      0.1731	    0.4256
3unique0        	UDInfoMMR5      	all 	      0.0335	      0.0833	    0.5242
3unique0        	UDInfoMMRA      	all 	      0.0339	      0.0844	    0.5018
3unique0        	UDInfoMMRWC5    	all 	      0.0360	      0.0941	    0.5861
3unique0        	UDInfoMMRWCA    	all 	      0.0345	      0.0919	    0.5156
3unique0        	wistudt2bcd     	all 	      0.0236	      0.1133	    0.3332
3unique0        	wistudt2bd      	all 	      0.0544	      0.1509	    0.3564
3unique0        	wistudt2qcd     	all 	      0.0140	      0.0533	    0.2121
3unique0        	wistudt2qd      	all 	      0.0291	      0.0843	    0.3000
3unique2        	EM100           	all 	      0.0714	      0.2115	    0.5817
3unique2        	EM50            	all 	      0.0630	      0.1815	    0.6380
3unique2        	hltcoeTTG0      	all 	      0.0732	      0.2117	    0.5834
3unique2        	hltcoeTTG1      	all 	      0.0351	      0.1009	    0.4633
3unique2        	hltcoeTTG2      	all 	      0.0388	      0.1334	    0.5406
3unique2        	hltcoeTTG3      	all 	      0.0423	      0.1274	    0.5324
3unique2        	ICTNETAP3       	all 	      0.0502	      0.1625	    0.5357
3unique2        	ICTNETAP4       	all 	      0.0494	      0.1544	    0.6007
3unique2        	ICTNETRunSP3    	all 	      0.0280	      0.0706	    0.5132
3unique2        	ICTNETRUNSP4    	all 	      0.0234	      0.0674	    0.4721
3unique2        	JufeLdkeSum1    	all 	      0.0862	      0.2549	    0.3430
3unique2        	JufeLdkeSum2    	all 	      0.0418	      0.1101	    0.3291
3unique2        	JufeLdkeSum3    	all 	      0.0244	      0.0750	    0.3291
3unique2        	PrisTTG2014a    	all 	      0.0403	      0.1516	    0.5543
3unique2        	PrisTTG2014b    	all 	      0.0372	      0.1413	    0.5304
3unique2        	PrisTTG2014c    	all 	      0.0702	      0.2226	    0.5191
3unique2        	PrisTTG2014e    	all 	      0.0694	      0.2262	    0.5735
3unique2        	QUQEd10t15TTgCL 	all 	      0.0320	      0.1114	    0.6318
3unique2        	QUQEd5t25TTgBL  	all 	      0.0503	      0.1807	    0.6058
3unique2        	QUTmpDecayTTgCL 	all 	      0.0368	      0.1141	    0.5926
3unique2        	QUTqrmTTgBL     	all 	      0.0444	      0.1624	    0.6242
3unique2        	SCIAI124aTTG    	all 	      0.0155	      0.0266	    0.3545
3unique2        	SCIAI14aTTG     	all 	      0.0155	      0.0266	    0.3545
3unique2        	SCIAI3am14aTTG  	all 	      0.0108	      0.0172	    0.2545
3unique2        	SCIAI3cm4aTTG   	all 	      0.0094	      0.0242	    0.2091
3unique2        	SM100           	all 	      0.0376	      0.1098	    0.5224
3unique2        	SM50            	all 	      0.0341	      0.1050	    0.5603
3unique2        	SR              	all 	      0.0142	      0.0487	    0.3182
3unique2        	SRTD            	all 	      0.0138	      0.0417	    0.3606
3unique2        	SRTL            	all 	      0.0154	      0.0462	    0.4091
3unique2        	Standard        	all 	      0.0149	      0.0506	    0.3364
3unique2        	TTGPKUICST1     	all 	      0.0381	      0.1274	    0.5894
3unique2        	TTGPKUICST2     	all 	      0.0316	      0.1003	    0.6064
3unique2        	TTGPKUICST3     	all 	      0.0366	      0.1302	    0.6264
3unique2        	TTGPKUICST4     	all 	      0.0344	      0.1129	    0.5958
3unique2        	udelRunTTG1     	all 	      0.0221	      0.0508	    0.4947
3unique2        	udelRunTTG2     	all 	      0.0184	      0.0451	    0.4645
3unique2        	udelRunTTG3     	all 	      0.0221	      0.0506	    0.4992
3unique2        	udelRunTTG4     	all 	      0.0187	      0.0496	    0.4803
3unique2        	UDInfoMMR5      	all 	      0.0099	      0.0268	    0.2879
3unique2        	UDInfoMMRA      	all 	      0.0097	      0.0267	    0.2636
3unique2        	UDInfoMMRWC5    	all 	      0.0101	      0.0242	    0.3182
3unique2        	UDInfoMMRWCA    	all 	      0.0080	      0.0237	    0.2909
3unique2        	wistudt2bcd     	all 	      0.0180	      0.0826	    0.3170
3unique2        	wistudt2bd      	all 	      0.0296	      0.0885	    0.4035
3unique2        	wistudt2qcd     	all 	      0.0099	      0.0346	    0.1697
