runtag    	topic	unweighted_recall weighted_recall precision
wistudt2qd	MB171	      0.0811	      0.5882	    0.1579
wistudt2qd	MB172	      0.0258	      0.2168	    0.5000
wistudt2qd	MB173	      0.0400	      0.0588	    0.1000
wistudt2qd	MB174	      0.2857	      0.4286	    0.0769
wistudt2qd	MB175	      0.0000	      0.0000	    0.0000
wistudt2qd	MB176	      0.0000	      0.0000	    0.0000
wistudt2qd	MB177	      0.0926	      0.0900	    0.1282
wistudt2qd	MB178	      0.0667	      0.1307	    0.2308
wistudt2qd	MB179	      0.0000	      0.0000	    0.0000
wistudt2qd	MB180	      0.0017	      0.0108	    0.0476
wistudt2qd	MB181	      0.2222	      0.4167	    0.1905
wistudt2qd	MB182	      0.0977	      0.4709	    0.5417
wistudt2qd	MB183	      0.1475	      0.4429	    0.3214
wistudt2qd	MB184	      0.0204	      0.0208	    0.0435
wistudt2qd	MB185	      0.3333	      0.5854	    0.2500
wistudt2qd	MB186	      0.0000	      0.0000	    0.0000
wistudt2qd	MB187	      0.0000	      0.0000	    0.0000
wistudt2qd	MB188	      0.3750	      0.3243	    0.1667
wistudt2qd	MB189	      0.0000	      0.0000	    0.0000
wistudt2qd	MB190	      0.1333	      0.6610	    0.1739
wistudt2qd	MB191	      0.0213	      0.0603	    0.0625
wistudt2qd	MB192	      0.0000	      0.0000	    0.0000
wistudt2qd	MB193	      0.0000	      0.0000	    0.0000
wistudt2qd	MB194	      0.0000	      0.0000	    0.0000
wistudt2qd	MB195	      0.0000	      0.0000	    0.0000
wistudt2qd	MB196	      0.0000	      0.0000	    0.0000
wistudt2qd	MB197	      0.1429	      0.3385	    0.3214
wistudt2qd	MB198	      0.0333	      0.0183	    0.0400
wistudt2qd	MB199	      0.0440	      0.3027	    0.6471
wistudt2qd	MB200	      0.0000	      0.0000	    0.0000
wistudt2qd	MB201	      0.0667	      0.5974	    0.2308
wistudt2qd	MB202	      0.2603	      0.6022	    0.7037
wistudt2qd	MB203	      0.0238	      0.0241	    0.0769
wistudt2qd	MB204	      0.1765	      0.4179	    0.2143
wistudt2qd	MB205	      0.0278	      0.0649	    0.1111
wistudt2qd	MB206	      0.0256	      0.0847	    1.0000
wistudt2qd	MB207	      0.1136	      0.3750	    0.1562
wistudt2qd	MB208	      0.0173	      0.4535	    0.1765
wistudt2qd	MB209	      0.0298	      0.1179	    0.4231
wistudt2qd	MB210	      0.2857	      0.4103	    1.0000
wistudt2qd	MB211	      0.1250	      0.2368	    0.0714
wistudt2qd	MB212	      0.0337	      0.0972	    0.1364
wistudt2qd	MB213	      0.0000	      0.0000	    0.0000
wistudt2qd	MB214	      0.1111	      0.2915	    0.3548
wistudt2qd	MB215	      0.0407	      0.0500	    0.7143
wistudt2qd	MB216	      0.0234	      0.0745	    0.1500
wistudt2qd	MB217	      0.0000	      0.0000	    0.0000
wistudt2qd	MB218	      0.0734	      0.4059	    0.5000
wistudt2qd	MB219	      0.0000	      0.0000	    0.0000
wistudt2qd	MB220	      0.0667	      0.0588	    0.1000
wistudt2qd	MB221	      0.0186	      0.4121	    0.1500
wistudt2qd	MB222	      0.0370	      0.0870	    0.0690
wistudt2qd	MB223	      0.0172	      0.0968	    0.0500
wistudt2qd	MB224	      0.1000	      0.0952	    0.0909
wistudt2qd	MB225	      0.3182	      0.6176	    0.2692
wistudt2qd	all  	      0.0756	      0.1970	    0.1954
